comment,compound,sentiment
2:14 who tf is this guy ? hahhaha,0.0,Neutral
The person with the finger feet got laughing my brain out,0.4939,Positive
when you take some dreams while you take a nape,0.4019,Positive
Always Strive And Prosper!!!,0.0,Neutral
ai videos irl,0.0,Neutral
🔥🔥🔥,-0.7351,Negative
i just watched this on mute 🤯,0.0,Neutral
"dave blunts flow, dave blunts type of lyrics. shoutout to dave blunts getting that ghost writer bag from ye",-0.3182,Negative
Poznyaki city,0.0,Neutral
Rocky got a camera In his dreams,0.4019,Positive
it took 20 years but i finally get why people thought borat was funny,0.5927,Positive
I thought he was referring to girl cousin him n diddy make sense,0.0,Neutral
Had to come back to see this banger again,0.0,Neutral
0:50 apocalypse now,0.0,Neutral
😳,0.0,Neutral
"Я из России и откровенно не могу понять, чему удивляются люди в комментариях",0.0,Neutral
Kendrick my top 5 but he robbed rocky 🤷🏾‍♂️,0.1027,Positive
this music video has literally everything,0.0,Neutral
DOO DA PARADE!!!!😮🎉😂,0.7762,Positive
i love this so badly,0.204,Positive
Did ts before Ai is so crazy,-0.4795,Negative
ရှယ်ကြီး 💥,-0.3612,Negative
Ambia quickmart tuna shop naivas(na hi verse)🔥,-0.34,Negative
FUCKK THE GRAMMYS  FOR REAL,0.0,Neutral
This is what tripping on percs looks like,0.3612,Positive
"What a music video 😮.
 I was not totally expecting this. Wow.....🎉. 
Unique and totally different. 
Ok I'm going to rewatch this again. Go ASAP Rocky. 
😊❤",0.9648,Positive
going back to america,0.0,Neutral
Gon head Scrim!!!🎉🎉 Got me smiling n what not 😂😂,0.9489,Positive
Holy $hit it was magnificent ❗❗❗❗ 💯💯✅✅ Soo much shit going on in the background I'm like what the hell🤣🤣 but this single 🔥✅,-0.2023,Negative
"This song is a banger, but IA for the clip.... berk
EDIT : Or maybe it's a talented artist who makes it look like a sora video (OpenAI chat) to point out this fact, and the era we're entering.",0.8271,Positive
My dreams when I’m sick:,-0.1531,Negative
Mushroom trip without the fear of being caught carrying.😂😂😂😂,0.9221,Positive
He perfectly captured the entire motif of 2025,0.6369,Positive
my dreams when I am 36.7°,0.4019,Positive
"A$AP Rocky: Creo que el acido no es para mi

A$AP Rocky tambien:",-0.296,Negative
Back in 2025 🔥🔥🥶😂,-0.2263,Negative
weird scenes,-0.1779,Negative
Too Hard A$AP Rocky 🔥,-0.4215,Negative
Wooooooooooow ❤🇬🇭,0.0,Neutral
Summer banger🔥🔥🔥,-0.7351,Negative
Užas!,0.0,Neutral
mükemmel,0.0,Neutral
Anybody else say wtf😂😂,0.25,Positive
Please drop a new album,0.0516,Positive
this whole music video is what my dreams look like,0.6369,Positive
This looks what kids said ohio looked like in 2022,0.3612,Positive
Average Gmod server,0.0,Neutral
Asap может больше не приезжал в Россию,0.0,Neutral
Это глубинка России,0.0,Neutral
🫀🫀🫀🫀🫀✨✨✨✨,0.802,Positive
